Time (sec)	¥ÄZ/Z0 (%)	¥ÄZ/Z0 (%) with a smoothing filter
19.762	-0.50337	-0.66459
19.861	-0.5054	-0.6639
19.96	-0.50598	-0.66321
20.06	-0.50636	-0.66252
20.159	-0.50654	-0.66184
20.258	-0.50716	-0.66115
20.358	-0.50821	-0.66046
20.457	-0.50931	-0.65977
20.556	-0.51048	-0.65908
20.656	-0.51057	-0.6584
20.755	-0.51119	-0.65771
20.854	-0.51214	-0.65702
20.953	-0.51358	-0.65633
21.053	-0.51558	-0.65565
21.152	-0.51718	-0.65496
21.251	-0.51871	-0.65427
21.351	-0.51968	-0.65359
21.45	-0.52097	-0.6529
21.549	-0.52229	-0.65222
21.649	-0.52355	-0.65153
21.748	-0.52549	-0.65084
21.847	-0.52787	-0.65016
21.947	-0.53157	-0.64947
22.046	-0.53592	-0.64879
22.145	-0.53965	-0.6481
22.244	-0.53433	-0.64742
22.344	-0.52879	-0.64673
22.443	-0.52241	-0.64605
22.542	-0.51583	-0.64536
22.642	-0.50861	-0.64468
22.741	-0.50098	-0.644
22.84	-0.49423	-0.64331
22.94	-0.48895	-0.64263
23.039	-0.48569	-0.64195
23.138	-0.48447	-0.64126
23.237	-0.4851	-0.64058
23.337	-0.48709	-0.6399
23.436	-0.48991	-0.63921
23.535	-0.49365	-0.63853
23.635	-0.4975	-0.63785
23.734	-0.50118	-0.63717
23.833	-0.50421	-0.63648
23.933	-0.50595	-0.6358
24.032	-0.50689	-0.63512
24.131	-0.50697	-0.63444
24.23	-0.50711	-0.63376
24.33	-0.50814	-0.63308
24.429	-0.50959	-0.63239
24.528	-0.51121	-0.63171
24.628	-0.5123	-0.63103
24.727	-0.51259	-0.63035
24.826	-0.51296	-0.62967
24.926	-0.51308	-0.62899
25.025	-0.51299	-0.62831
25.124	-0.51155	-0.62763
25.224	-0.50787	-0.62695
25.323	-0.50264	-0.62627
25.422	-0.49498	-0.62559
25.521	-0.48563	-0.62491
25.621	-0.47675	-0.62423
25.72	-0.46975	-0.62355
25.819	-0.46664	-0.62288
25.919	-0.46731	-0.6222
26.018	-0.46977	-0.62152
26.117	-0.47329	-0.62084
26.217	-0.47608	-0.62016
26.316	-0.47859	-0.61948
26.415	-0.48161	-0.61881
26.514	-0.4837	-0.61813
26.614	-0.48543	-0.61745
26.713	-0.48658	-0.61677
26.812	-0.48628	-0.6161
26.912	-0.48533	-0.61542
27.011	-0.48394	-0.61474
27.11	-0.4826	-0.61407
27.21	-0.4817	-0.61339
27.309	-0.48141	-0.61271
27.408	-0.48064	-0.61204
27.507	-0.47979	-0.61136
27.607	-0.47968	-0.61068
27.706	-0.48071	-0.61001
27.805	-0.48376	-0.60933
27.905	-0.48919	-0.60866
28.004	-0.49585	-0.60798
28.103	-0.50315	-0.60731
28.203	-0.51019	-0.60663
28.302	-0.51624	-0.60596
28.401	-0.52298	-0.60528
28.501	-0.53015	-0.60461
28.6	-0.53863	-0.60394
28.699	-0.54838	-0.60326
28.798	-0.55764	-0.60259
28.898	-0.56666	-0.60191
28.997	-0.57432	-0.60124
29.096	-0.58099	-0.60057
29.196	-0.5869	-0.59989
29.295	-0.59195	-0.59922
29.394	-0.5979	-0.59855
29.494	-0.60317	-0.59788
29.593	-0.60768	-0.5972
29.692	-0.6115	-0.59653
29.791	-0.61453	-0.59586
29.891	-0.61794	-0.59519
29.99	-0.62437	-0.59452
30.089	-0.63171	-0.59384
30.189	-0.63961	-0.59317
30.288	-0.64755	-0.5925
30.387	-0.65397	-0.59183
30.487	-0.66025	-0.59116
30.586	-0.66689	-0.59049
30.685	-0.67495	-0.58982
30.784	-0.68423	-0.58915
30.884	-0.69563	-0.58848
30.983	-0.70889	-0.58781
31.082	-0.72259	-0.58714
31.182	-0.73721	-0.58647
31.281	-0.75226	-0.5858
31.38	-0.76725	-0.58513
31.48	-0.78246	-0.58446
31.579	-0.79757	-0.58379
31.678	-0.81144	-0.58312
31.778	-0.82403	-0.58245
31.877	-0.8358	-0.58178
31.976	-0.84626	-0.58112
32.075	-0.85682	-0.58045
32.175	-0.86656	-0.57978
32.274	-0.87624	-0.57911
32.373	-0.88532	-0.57844
32.473	-0.89353	-0.57778
32.572	-0.90241	-0.57711
32.671	-0.91116	-0.57644
32.771	-0.91978	-0.57577
32.87	-0.92943	-0.57511
32.969	-0.94002	-0.57444
33.068	-0.95213	-0.57377
33.168	-0.96672	-0.57311
33.267	-0.98247	-0.57244
33.366	-0.99808	-0.57178
33.466	-1.01325	-0.57111
33.565	-1.02718	-0.57044
33.664	-1.04014	-0.56978
33.764	-1.0527	-0.56911
33.863	-1.0644	-0.56845
33.962	-1.07506	-0.56778
34.061	-1.08493	-0.56712
34.161	-1.09429	-0.56645
34.26	-1.10308	-0.56579
34.359	-1.11118	-0.56512
34.459	-1.11749	-0.56446
34.558	-1.12211	-0.5638
34.657	-1.1246	-0.56313
34.757	-1.12559	-0.56247
34.856	-1.12582	-0.5618
34.955	-1.12525	-0.56114
35.055	-1.12445	-0.56048
35.154	-1.12334	-0.55981
35.253	-1.12211	-0.55915
35.352	-1.12138	-0.55849
35.452	-1.12039	-0.55783
35.551	-1.12015	-0.55716
35.65	-1.12016	-0.5565
35.75	-1.11997	-0.55584
35.849	-1.12084	-0.55518
35.948	-1.12238	-0.55452
36.048	-1.1252	-0.55385
36.147	-1.12935	-0.55319
36.246	-1.13439	-0.55253
36.345	-1.13983	-0.55187
36.445	-1.14516	-0.55121
36.544	-1.14996	-0.55055
36.643	-1.1541	-0.54989
36.743	-1.1577	-0.54923
36.842	-1.16155	-0.54857
36.941	-1.16508	-0.54791
37.041	-1.16795	-0.54725
37.14	-1.17043	-0.54659
37.239	-1.17128	-0.54593
37.338	-1.17129	-0.54527
37.438	-1.17109	-0.54461
37.537	-1.16978	-0.54395
37.636	-1.16859	-0.54329
37.736	-1.16739	-0.54263
37.835	-1.16563	-0.54198
37.934	-1.16384	-0.54132
38.034	-1.1613	-0.54066
38.133	-1.15891	-0.54
38.232	-1.15654	-0.53934
38.332	-1.15491	-0.53869
38.431	-1.1532	-0.53803
38.53	-1.14973	-0.53737
38.629	-1.14568	-0.53671
38.729	-1.14085	-0.53606
38.828	-1.13583	-0.5354
38.927	-1.13215	-0.53474
39.027	-1.12933	-0.53409
