Time (sec)	¥ÄZ/Z0 (%)	¥ÄZ/Z0 (%) with a smoothing filter
450.538	2.32808	2.08712
450.638	2.33103	2.08877
450.737	2.3346	2.09043
450.836	2.33917	2.09211
450.936	2.34422	2.09381
451.035	2.34965	2.09554
451.134	2.35541	2.09728
451.234	2.36066	2.09905
451.333	2.36561	2.10084
451.432	2.37028	2.10266
451.531	2.37443	2.10449
451.631	2.37906	2.10636
451.73	2.38374	2.10825
451.829	2.3884	2.11016
451.929	2.39337	2.11209
452.028	2.3986	2.11405
452.127	2.40428	2.11604
452.227	2.41012	2.11804
452.326	2.41577	2.12006
452.425	2.4202	2.12211
452.524	2.42425	2.12417
452.624	2.42821	2.12624
452.723	2.43269	2.12833
452.822	2.43796	2.13043
452.922	2.44339	2.13255
453.021	2.4492	2.13468
453.12	2.45504	2.13683
453.22	2.46109	2.13899
453.319	2.46725	2.14117
453.418	2.47371	2.14336
453.517	2.48021	2.14556
453.617	2.48649	2.14777
453.716	2.49286	2.14999
453.815	2.49784	2.15223
453.915	2.50066	2.15448
454.014	2.50032	2.15675
454.113	2.49728	2.15903
454.213	2.49271	2.16133
454.312	2.48742	2.16363
454.411	2.48262	2.16595
454.511	2.47772	2.16829
454.61	2.47212	2.17063
454.709	2.4659	2.17298
454.808	2.45912	2.17534
454.908	2.45213	2.17771
455.007	2.44545	2.18008
455.106	2.43873	2.18246
455.206	2.43175	2.18485
455.305	2.42341	2.18724
455.404	2.41394	2.18963
455.504	2.40356	2.19203
455.603	2.39259	2.19443
455.702	2.38114	2.19683
455.801	2.36934	2.19923
455.901	2.35684	2.20164
456	2.34365	2.20406
456.099	2.33015	2.20647
456.199	2.31561	2.20889
456.298	2.30089	2.21131
456.397	2.28613	2.21374
456.497	2.27113	2.21617
456.596	2.25592	2.2186
456.695	2.24042	2.22104
456.794	2.22417	2.22347
456.894	2.20794	2.2259
456.993	2.19215	2.22834
457.092	2.17601	2.23077
457.192	2.15987	2.2332
457.291	2.14337	2.23562
457.39	2.12639	2.23804
457.49	2.10917	2.24045
457.589	2.09186	2.24286
457.688	2.07416	2.24527
457.788	2.05678	2.24767
457.887	2.03994	2.25007
457.986	2.02368	2.25247
458.085	2.00828	2.25486
458.185	1.9935	2.25725
458.284	1.9792	2.25964
458.383	1.96534	2.26202
458.483	1.95209	2.2644
458.582	1.93951	2.26676
458.681	1.92801	2.26913
458.781	1.91756	2.27148
458.88	1.90842	2.27383
458.979	1.8999	2.27618
459.078	1.8919	2.27852
459.178	1.88435	2.28086
459.277	1.87753	2.28319
459.376	1.87197	2.28553
459.476	1.86688	2.28787
459.575	1.8627	2.29022
459.674	1.85915	2.29256
459.774	1.85617	2.29492
459.873	1.85439	2.29727
459.972	1.85301	2.29963
460.071	1.85238	2.30199
460.171	1.85242	2.30436
460.27	1.85359	2.30672
460.369	1.85692	2.30908
460.469	1.86094	2.31144
460.568	1.8646	2.3138
460.667	1.86712	2.31616
460.767	1.86712	2.31852
460.866	1.86491	2.32088
460.965	1.86203	2.32324
461.065	1.85849	2.32561
461.164	1.85512	2.32799
461.263	1.85246	2.33038
461.362	1.84936	2.33279
461.462	1.84582	2.33521
461.561	1.84172	2.33764
461.66	1.83646	2.34009
461.76	1.83059	2.34255
461.859	1.82487	2.34503
461.958	1.81874	2.34753
462.058	1.81268	2.35003
462.157	1.80714	2.35256
462.256	1.80123	2.35509
462.355	1.79566	2.35764
462.455	1.79004	2.36019
462.554	1.78417	2.36276
462.653	1.77875	2.36533
462.753	1.77337	2.36791
462.852	1.76863	2.37049
462.951	1.76422	2.37307
463.051	1.75921	2.37566
463.15	1.75407	2.37826
463.249	1.74827	2.38085
463.348	1.74239	2.38346
463.448	1.73696	2.38606
463.547	1.73142	2.38867
463.646	1.72607	2.39129
463.746	1.72029	2.39391
463.845	1.71417	2.39653
463.944	1.70738	2.39916
464.044	1.7	2.40179
464.143	1.69177	2.40443
464.242	1.68289	2.40706
464.342	1.67361	2.4097
464.441	1.66391	2.41235
464.54	1.65413	2.41499
464.639	1.64422	2.41764
464.739	1.63434	2.42028
464.838	1.62458	2.42292
464.937	1.61513	2.42556
465.037	1.60625	2.4282
465.136	1.59814	2.43083
465.235	1.59097	2.43345
465.335	1.58512	2.43608
465.434	1.58023	2.43869
465.533	1.57673	2.44131
465.632	1.57454	2.44392
465.732	1.57334	2.44653
465.831	1.574	2.44913
465.93	1.57636	2.45173
466.03	1.58135	2.45433
466.129	1.58923	2.45692
466.228	1.59934	2.45951
466.328	1.61093	2.46209
466.427	1.62308	2.46466
466.526	1.63514	2.46722
466.625	1.64638	2.46977
466.725	1.65714	2.4723
466.824	1.6674	2.47483
466.923	1.67694	2.47735
467.023	1.68623	2.47986
467.122	1.6948	2.48236
467.221	1.70281	2.48485
467.321	1.7103	2.48734
467.42	1.71725	2.48981
467.519	1.72451	2.49228
467.619	1.73144	2.49475
467.718	1.73845	2.49721
467.817	1.746	2.49969
467.916	1.75368	2.50217
468.016	1.76123	2.50466
468.115	1.76911	2.50716
468.214	1.77659	2.50967
468.314	1.78413	2.51219
468.413	1.7923	2.51472
468.512	1.80057	2.51726
468.612	1.80896	2.51983
468.711	1.81668	2.52241
468.81	1.82352	2.52501
468.909	1.82983	2.52763
469.009	1.83593	2.53026
469.108	1.84245	2.53292
469.207	1.85021	2.53559
469.307	1.85868	2.53829
469.406	1.8674	2.54101
469.505	1.87599	2.54376
469.605	1.88408	2.54652
469.704	1.89217	2.54932
469.803	1.90052	2.55213
469.902	1.90903	2.55496
470.002	1.91745	2.55781
470.101	1.92518	2.56068
470.2	1.93198	2.56357
470.3	1.93809	2.56648
470.399	1.94351	2.56941
470.498	1.94853	2.57234
470.598	1.95342	2.57529
470.697	1.95805	2.57826
470.796	1.96199	2.58123
470.896	1.96496	2.58421
470.995	1.96678	2.5872
471.094	1.96772	2.59019
471.193	1.96825	2.59318
471.293	1.96889	2.59618
471.392	1.97051	2.59918
471.491	1.97303	2.60219
471.591	1.97623	2.6052
471.69	1.97939	2.60821
471.789	1.98197	2.61123
471.889	1.9842	2.61426
471.988	1.98589	2.61728
472.087	1.98834	2.62031
472.186	1.99244	2.62334
472.286	1.99754	2.62638
472.385	2.00395	2.62941
472.484	2.01079	2.63245
472.584	2.01731	2.63549
472.683	2.02378	2.63853
472.782	2.03026	2.64157
472.882	2.03646	2.64461
472.981	2.04295	2.64765
473.08	2.04948	2.65069
473.179	2.05604	2.65372
473.279	2.0633	2.65675
473.378	2.07044	2.65978
473.477	2.07846	2.6628
473.577	2.08739	2.66582
473.676	2.09653	2.66883
473.775	2.10631	2.67184
473.875	2.11624	2.67483
473.974	2.12621	2.67781
474.073	2.13654	2.68078
474.173	2.14686	2.68373
474.272	2.15726	2.68667
474.371	2.1667	2.6896
474.47	2.17493	2.6925
474.57	2.18176	2.6954
474.669	2.18767	2.69827
474.768	2.19287	2.70113
474.868	2.19719	2.70397
474.967	2.20084	2.70679
475.066	2.20228	2.70959
475.166	2.20273	2.71236
475.265	2.2025	2.71512
475.364	2.20131	2.71785
475.463	2.20007	2.72057
475.563	2.19829	2.72327
475.662	2.19584	2.72595
475.761	2.1932	2.72862
475.861	2.18972	2.73127
475.96	2.18529	2.73391
476.059	2.18	2.73653
476.159	2.17389	2.73913
476.258	2.16714	2.74172
476.357	2.15992	2.7443
476.456	2.15267	2.74686
476.556	2.14544	2.74941
476.655	2.13807	2.75195
476.754	2.13097	2.75447
476.854	2.12345	2.75699
476.953	2.11488	2.75949
477.052	2.10648	2.76197
477.152	2.09825	2.76445
477.251	2.0907	2.76691
477.35	2.08405	2.76936
477.45	2.07739	2.7718
477.549	2.07044	2.77422
477.648	2.06322	2.77664
477.747	2.05549	2.77904
477.847	2.04778	2.78143
477.946	2.04017	2.78381
478.045	2.03219	2.78619
478.145	2.02449	2.78855
478.244	2.01571	2.79091
478.343	2.00567	2.79326
478.443	1.99489	2.79561
478.542	1.98302	2.79796
478.641	1.97106	2.8003
478.74	1.95915	2.80265
478.84	1.94681	2.805
478.939	1.93426	2.80735
479.038	1.92065	2.80971
479.138	1.90621	2.81207
479.237	1.891	2.81443
479.336	1.87473	2.81679
479.436	1.85814	2.81916
479.535	1.84118	2.82154
479.634	1.82397	2.82392
479.733	1.80624	2.82631
479.833	1.7886	2.8287
479.932	1.77036	2.8311
480.031	1.75151	2.8335
480.131	1.73251	2.83591
480.23	1.71284	2.83832
480.329	1.69308	2.84072
480.429	1.67346	2.84312
480.528	1.65406	2.84552
480.627	1.6347	2.84792
480.727	1.61563	2.85032
480.826	1.59709	2.85271
480.925	1.57829	2.8551
481.024	1.55983	2.85749
481.124	1.54153	2.85988
481.223	1.523	2.86226
481.322	1.50507	2.86463
481.422	1.48829	2.86701
481.521	1.47178	2.86937
481.62	1.4559	2.87173
481.72	1.4406	2.87409
481.819	1.42472	2.87643
481.918	1.40908	2.87876
482.017	1.39348	2.88108
482.117	1.37751	2.8834
482.216	1.36185	2.88571
482.315	1.34608	2.88802
482.415	1.33022	2.89033
482.514	1.31441	2.89264
482.613	1.29814	2.89495
482.713	1.28229	2.89725
482.812	1.26671	2.89955
482.911	1.25145	2.90184
483.01	1.23717	2.90413
483.11	1.22295	2.90642
483.209	1.20912	2.9087
483.308	1.19558	2.91098
483.408	1.18218	2.91326
483.507	1.16954	2.91555
483.606	1.15721	2.91783
483.706	1.14562	2.92012
483.805	1.13432	2.92241
483.904	1.12321	2.9247
484.004	1.11304	2.92699
484.103	1.10411	2.92929
484.202	1.09649	2.93159
484.301	1.09076	2.9339
484.401	1.08642	2.9362
484.5	1.0834	2.93852
484.599	1.08161	2.94084
484.699	1.0806	2.94316
484.798	1.0816	2.94549
484.897	1.08404	2.94783
484.997	1.08793	2.95017
485.096	1.09366	2.95252
485.195	1.09957	2.95487
485.294	1.1057	2.95724
485.394	1.11275	2.95961
485.493	1.11969	2.96198
485.592	1.1268	2.96437
485.692	1.13333	2.96677
485.791	1.13889	2.96917
485.89	1.14334	2.97159
485.99	1.14646	2.97401
486.089	1.1485	2.97643
486.188	1.1486	2.97887
486.287	1.14748	2.98132
486.387	1.14598	2.98377
486.486	1.14464	2.98624
486.585	1.14403	2.98873
486.685	1.14389	2.99122
486.784	1.14343	2.99373
486.883	1.14281	2.99624
486.983	1.14168	2.99877
487.082	1.14102	3.0013
487.181	1.14091	3.00384
487.281	1.1414	3.00639
487.38	1.1432	3.00896
487.479	1.14492	3.01153
487.578	1.14721	3.01411
487.678	1.14999	3.0167
487.777	1.15302	3.0193
487.876	1.15681	3.02191
487.976	1.16156	3.02453
488.075	1.16732	3.02716
488.174	1.17399	3.0298
488.274	1.18131	3.03245
488.373	1.18817	3.0351
488.472	1.19488	3.03777
488.571	1.20125	3.04044
488.671	1.20831	3.04312
488.77	1.21744	3.04581
488.869	1.22895	3.0485
488.969	1.24331	3.05121
489.068	1.2595	3.05393
489.167	1.27577	3.05667
489.267	1.29139	3.05942
489.366	1.30705	3.06218
489.465	1.32358	3.06497
489.564	1.3419	3.06776
489.664	1.36183	3.07058
489.763	1.38211	3.07341
489.862	1.40176	3.07626
489.962	1.42077	3.07912
490.061	1.43932	3.082
490.16	1.45813	3.0849
490.26	1.47775	3.08781
490.359	1.49784	3.09073
490.458	1.51864	3.09368
490.558	1.53942	3.09664
490.657	1.56036	3.09962
490.756	1.58202	3.10261
490.855	1.60397	3.10562
490.955	1.62695	3.10865
491.054	1.65107	3.11169
491.153	1.67656	3.11474
491.253	1.70374	3.11781
491.352	1.7313	3.12089
491.451	1.75861	3.12399
491.551	1.78517	3.1271
491.65	1.81149	3.13022
491.749	1.83869	3.13335
491.848	1.86673	3.13649
491.948	1.8953	3.13964
492.047	1.92299	3.14281
492.146	1.94859	3.14597
492.246	1.97254	3.14915
492.345	1.99511	3.15233
492.444	2.01665	3.15553
492.544	2.03754	3.15872
492.643	2.05806	3.16193
492.742	2.078	3.16514
492.841	2.09821	3.16835
492.941	2.11911	3.17157
493.04	2.13995	3.17479
493.139	2.16085	3.17802
493.239	2.18119	3.18125
493.338	2.20097	3.18449
493.437	2.22005	3.18773
493.537	2.23812	3.19097
493.636	2.25576	3.19421
493.735	2.27332	3.19745
493.835	2.29101	3.2007
493.934	2.29841	3.20394
494.033	2.30656	3.20718
494.132	2.31532	3.21042
494.232	2.32512	3.21366
494.331	2.33554	3.21689
494.43	2.34618	3.22013
494.53	2.35554	3.22336
494.629	2.36116	3.22659
494.728	2.36113	3.22982
494.828	2.35451	3.23305
494.927	2.34199	3.23628
495.026	2.32614	3.2395
495.125	2.30971	3.24273
495.225	2.29501	3.24597
495.324	2.28251	3.2492
495.423	2.27199	3.25244
495.523	2.2627	3.25568
495.622	2.25413	3.25893
495.721	2.24602	3.26217
495.821	2.23917	3.26542
495.92	2.23289	3.26868
496.019	2.22717	3.27193
496.118	2.22265	3.27519
496.218	2.21806	3.27844
496.317	2.21327	3.2817
496.416	2.20703	3.28496
496.516	2.19907	3.28821
496.615	2.18987	3.29146
496.714	2.17995	3.29471
496.814	2.17029	3.29796
496.913	2.1615	3.30121
497.012	2.1531	3.30446
497.112	2.14506	3.30771
497.211	2.13741	3.31095
497.31	2.13031	3.3142
497.409	2.12431	3.31744
497.509	2.11955	3.32069
497.608	2.11642	3.32393
497.707	2.1141	3.32718
497.807	2.11224	3.33043
497.906	2.11032	3.33368
498.005	2.10791	3.33693
498.105	2.10501	3.34019
498.204	2.10235	3.34344
498.303	2.10126	3.34671
498.402	2.10159	3.34997
498.502	2.10373	3.35323
498.601	2.10661	3.3565
498.7	2.10939	3.35976
498.8	2.11278	3.36302
498.899	2.11741	3.36627
498.998	2.12405	3.36952
499.098	2.13322	3.37277
499.197	2.14441	3.37601
499.296	2.15658	3.37925
499.395	2.16983	3.38248
499.495	2.18303	3.3857
499.594	2.19639	3.38891
499.693	2.21059	3.3921
499.793	2.22461	3.39528
499.892	2.24039	3.39844
499.991	2.25702	3.40159
500.091	2.27417	3.40471
500.19	2.29174	3.40782
500.289	2.30785	3.41091
500.389	2.32334	3.41398
500.488	2.33819	3.41704
500.587	2.35311	3.42007
500.686	2.36869	3.42309
500.786	2.3842	3.42609
500.885	2.39997	3.42907
500.984	2.41488	3.43203
501.084	2.42876	3.43497
501.183	2.44171	3.4379
501.282	2.45201	3.44081
501.382	2.45997	3.4437
501.481	2.46579	3.44658
501.58	2.47021	3.44944
501.679	2.47361	3.45228
501.779	2.47666	3.45512
501.878	2.47998	3.45795
501.977	2.4834	3.46077
502.077	2.48808	3.46358
502.176	2.4946	3.46639
502.275	2.50253	3.46918
502.375	2.51161	3.47195
502.474	2.52175	3.47471
502.573	2.53226	3.47745
502.672	2.54311	3.48018
502.772	2.55475	3.4829
502.871	2.56721	3.48561
502.97	2.58068	3.48831
503.07	2.5956	3.491
503.169	2.61045	3.49368
503.268	2.6243	3.49635
503.368	2.63634	3.49901
503.467	2.64624	3.50165
503.566	2.65592	3.50429
503.666	2.66636	3.50691
503.765	2.67907	3.50953
503.864	2.69278	3.51213
503.963	2.70665	3.51472
504.063	2.72007	3.5173
504.162	2.73292	3.51987
504.261	2.74709	3.52244
504.361	2.76456	3.52499
504.46	2.78588	3.52754
504.559	2.81105	3.53008
504.659	2.83909	3.53262
504.758	2.86693	3.53514
504.857	2.8954	3.53766
504.956	2.92377	3.54018
505.056	2.95311	3.54269
505.155	2.98238	3.54519
505.254	3.01108	3.54769
505.354	3.03913	3.55019
505.453	3.06564	3.55268
505.552	3.09144	3.55517
505.652	3.11492	3.55765
505.751	3.13598	3.56013
505.85	3.15513	3.5626
505.949	3.17353	3.56508
506.049	3.19216	3.56755
506.148	3.21209	3.57002
506.247	3.23328	3.57249
506.347	3.25562	3.57495
506.446	3.27972	3.57741
506.545	3.30569	3.57987
506.645	3.33395	3.58232
506.744	3.36553	3.58478
506.843	3.40009	3.58723
506.943	3.43699	3.58967
507.042	3.47563	3.59212
507.141	3.51592	3.59457
507.24	3.55953	3.59701
507.34	3.60744	3.59945
507.439	3.66089	3.6019
507.538	3.72062	3.60434
507.638	3.78705	3.60679
507.737	3.86098	3.60924
507.836	3.94224	3.61169
507.936	4.02739	3.61415
508.035	4.11142	3.61662
508.134	4.19217	3.61909
508.233	4.26748	3.62157
508.333	4.34004	3.62405
508.432	4.41278	3.62655
508.531	4.48767	3.62906
508.631	4.56556	3.63158
508.73	4.6451	3.63411
508.829	4.72547	3.63666
508.929	4.80478	3.63921
509.028	4.88396	3.64178
509.127	4.96433	3.64435
509.226	5.04746	3.64693
509.326	5.13291	3.64951
509.425	5.2202	3.6521
509.524	5.30799	3.65469
509.624	5.39719	3.65729
509.723	5.48895	3.65988
509.822	5.58362	3.66248
509.922	5.68227	3.66509
510.021	5.78316	3.66769
510.12	5.8855	3.6703
510.22	5.9878	3.6729
510.319	6.08929	3.67551
510.418	6.18904	3.67811
510.517	6.28686	3.68071
510.617	6.38237	3.68331
510.716	6.47522	3.68591
510.815	6.56599	3.6885
510.915	6.65397	3.6911
511.014	6.74028	3.6937
511.113	6.82472	3.6963
511.213	6.9065	3.6989
511.312	6.98607	3.7015
511.411	7.06378	3.7041
511.51	7.13943	3.7067
511.61	7.21176	3.70931
511.709	7.28051	3.71192
511.808	7.34438	3.71454
511.908	7.40441	3.71716
512.007	7.46223	3.71978
512.106	7.5194	3.7224
512.206	7.57603	3.72503
512.305	7.63237	3.72766
512.404	7.68909	3.7303
512.503	7.74474	3.73295
512.603	7.79918	3.7356
512.702	7.85216	3.73825
512.801	7.90321	3.7409
512.901	7.95238	3.74356
513	7.99999	3.74623
513.099	8.04548	3.7489
513.199	8.08809	3.75157
513.298	8.12658	3.75425
513.397	8.15997	3.75693
513.497	8.18724	3.75962
513.596	8.20831	3.76231
513.695	8.22396	3.765
513.794	8.235	3.7677
513.894	8.25406	3.77041
513.993	8.27011	3.77312
514.092	8.28168	3.77583
514.192	8.28737	3.77856
514.291	8.28653	3.78128
514.39	8.27991	3.78401
514.49	8.27096	3.78674
514.589	8.26258	3.78948
514.688	8.25754	3.79222
514.787	8.25672	3.79496
514.887	8.25864	3.79771
514.986	8.26217	3.80046
515.085	8.26502	3.80322
515.185	8.2666	3.80598
515.284	8.26739	3.80874
515.383	8.26627	3.81151
515.483	8.2633	3.81427
515.582	8.25821	3.81704
515.681	8.25033	3.81981
515.78	8.2395	3.82258
515.88	8.22707	3.82534
515.979	8.21259	3.82811
516.078	8.196	3.83087
516.178	8.17832	3.83364
516.277	8.15896	3.8364
516.376	8.13874	3.83917
516.476	8.1175	3.84193
516.575	8.09551	3.8447
516.674	8.07208	3.84746
516.774	8.0469	3.85023
516.873	8.0203	3.853
516.972	7.99146	3.85576
517.071	7.9603	3.85853
517.171	7.92643	3.8613
517.27	7.8896	3.86407
517.369	7.85062	3.86685
517.469	7.81012	3.86963
517.568	7.76872	3.87241
517.667	7.72746	3.8752
517.767	7.68631	3.87799
517.866	7.64529	3.88079
517.965	7.60398	3.8836
518.064	7.56125	3.88641
518.164	7.51578	3.88922
518.263	7.46582	3.89204
518.362	7.41042	3.89486
518.462	7.34933	3.89768
518.561	7.28438	3.90051
518.66	7.21712	3.90334
518.76	7.14874	3.90616
518.859	7.07934	3.90899
518.958	7.00817	3.91183
519.057	6.93538	3.91466
519.157	6.86167	3.9175
519.256	6.7884	3.92033
519.355	6.71571	3.92318
519.455	6.64393	3.92602
519.554	6.57179	3.92887
519.653	6.49837	3.93172
519.753	6.42415	3.93457
519.852	6.34832	3.93742
519.951	6.27271	3.94027
520.051	6.19755	3.94313
520.15	6.12387	3.94599
520.249	6.05273	3.94886
520.348	5.98289	3.95172
520.448	5.91388	3.95458
520.547	5.8443	3.95745
520.646	5.7745	3.96031
520.746	5.70484	3.96318
520.845	5.63619	3.96605
520.944	5.56884	3.96891
521.044	5.50196	3.97178
521.143	5.43541	3.97464
521.242	5.36988	3.9775
521.341	5.30581	3.98037
521.441	5.24419	3.98323
521.54	5.18564	3.98609
521.639	5.13007	3.98895
521.739	5.07744	3.9918
521.838	5.02747	3.99465
521.937	4.97847	3.9975
522.037	4.9279	4.00034
522.136	4.87501	4.00318
522.235	4.81962	4.00601
522.334	4.7641	4.00884
522.434	4.71069	4.01167
522.533	4.66015	4.0145
522.632	4.61146	4.01732
522.732	4.56278	4.02015
522.831	4.51456	4.02297
522.93	4.46725	4.0258
523.03	4.42223	4.02862
523.129	4.38254	4.03145
523.228	4.34943	4.03429
523.328	4.32404	4.03713
523.427	4.30635	4.03998
523.526	4.29393	4.04284
523.625	4.28541	4.0457
523.725	4.27992	4.04856
523.824	4.27928	4.05143
523.923	4.28367	4.05431
524.023	4.29282	4.05719
524.122	4.30445	4.06007
524.221	4.31495	4.06295
524.321	4.32265	4.06584
524.42	4.32683	4.06872
524.519	4.32745	4.0716
524.618	4.3259	4.07447
524.718	4.3236	4.07734
524.817	4.31953	4.0802
524.916	4.31482	4.08306
525.016	4.30846	4.08592
525.115	4.303	4.08876
525.214	4.29995	4.0916
525.314	4.2997	4.09443
525.413	4.3041	4.09726
525.512	4.31192	4.10008
525.611	4.32507	4.10289
525.711	4.34404	4.10569
525.81	4.36791	4.10849
525.909	4.39661	4.11127
526.009	4.42884	4.11405
526.108	4.46445	4.11682
526.207	4.50328	4.11958
526.307	4.54374	4.12234
526.406	4.58574	4.12509
526.505	4.62813	4.12782
526.605	4.67132	4.13055
526.704	4.71544	4.13327
526.803	4.76054	4.13598
526.902	4.80785	4.13868
527.002	4.85712	4.14137
527.101	4.90798	4.14405
527.2	4.95823	4.14672
527.3	5.00602	4.14939
527.399	5.04963	4.15204
527.498	5.08825	4.15469
527.598	5.12078	4.15733
527.697	5.14532	4.15995
527.796	5.16093	4.16257
527.895	5.16951	4.16519
527.995	5.17515	4.16779
528.094	5.1817	4.17039
528.193	5.19196	4.17297
528.293	5.20505	4.17556
528.392	5.21823	4.17813
528.491	5.22911	4.18069
528.591	5.23781	4.18325
528.69	5.24529	4.1858
528.789	5.25274	4.18834
528.888	5.2619	4.19087
528.988	5.27184	4.19338
529.087	5.28215	4.19589
529.186	5.29245	4.19839
529.286	5.3026	4.20087
529.385	5.31257	4.20333
529.484	5.32376	4.20579
529.584	5.33619	4.20823
529.683	5.35006	4.21065
529.782	5.36653	4.21305
529.882	5.38504	4.21544
529.981	5.40687	4.21781
530.08	5.4319	4.22016
530.179	5.46023	4.2225
530.279	5.49119	4.22482
530.378	5.52461	4.22713
530.477	5.56145	4.22943
530.577	5.6015	4.23172
530.676	5.64349	4.234
530.775	5.6853	4.23626
530.875	5.72542	4.23852
530.974	5.76309	4.24077
531.073	5.79991	4.24302
531.172	5.83744	4.24526
531.272	5.87684	4.2475
531.371	5.91741	4.24973
531.47	5.95809	4.25195
531.57	6.00047	4.25417
531.669	6.04168	4.25639
531.768	6.08136	4.2586
531.868	6.11883	4.26081
531.967	6.15122	4.26302
532.066	6.17966	4.26522
532.165	6.20442	4.26743
532.265	6.22594	4.26963
532.364	6.244	4.27183
532.463	6.26008	4.27404
532.563	6.27269	4.27625
532.662	6.27959	4.27847
532.761	6.28001	4.28069
532.861	6.27193	4.28291
532.96	6.25596	4.28512
533.059	6.23332	4.28734
533.159	6.2049	4.28955
533.258	6.1711	4.29175
533.357	6.1328	4.29394
533.456	6.09102	4.29613
533.556	6.04621	4.29831
533.655	5.99886	4.30049
533.754	5.94974	4.30266
533.854	5.89882	4.30483
533.953	5.84735	4.30699
534.052	5.7965	4.30915
534.152	5.74718	4.3113
534.251	5.7006	4.31346
534.35	5.65628	4.31563
534.449	5.62407	4.3178
534.549	5.59168	4.31997
534.648	5.55866	4.32215
534.747	5.52509	4.32434
534.847	5.49223	4.32654
534.946	5.45948	4.32873
535.045	5.42579	4.33094
535.145	5.38967	4.33315
535.244	5.34959	4.33537
535.343	5.30623	4.3376
535.442	5.25902	4.33983
535.542	5.20793	4.34207
535.641	5.15311	4.34431
535.74	5.09345	4.34656
535.84	5.02936	4.34881
535.939	4.96245	4.35107
536.038	4.89259	4.35334
536.138	4.82172	4.3556
536.237	4.75342	4.35787
536.336	4.68993	4.36014
536.436	4.63251	4.36241
536.535	4.57862	4.36469
536.634	4.52463	4.36697
536.733	4.46763	4.36926
536.833	4.40608	4.37155
536.932	4.34118	4.37385
537.031	4.27315	4.37615
537.131	4.20329	4.37845
537.23	4.13296	4.38075
537.329	4.06233	4.38305
537.429	3.99207	4.38533
537.528	3.92097	4.38761
537.627	3.84854	4.38987
537.726	3.77495	4.39213
537.826	3.70071	4.39437
537.925	3.62693	4.39662
538.024	3.55471	4.39885
538.124	3.48547	4.40108
538.223	3.4209	4.4033
538.322	3.36145	4.40552
538.422	3.30792	4.40774
538.521	3.25905	4.40995
538.62	3.21413	4.41216
538.719	3.17178	4.41436
538.819	3.13139	4.41657
538.918	3.09402	4.41877
539.017	3.05888	4.42097
539.117	3.02603	4.42316
539.216	2.99476	4.42535
539.315	2.96436	4.42754
539.415	2.93473	4.42972
539.514	2.90728	4.4319
539.613	2.88272	4.43407
539.713	2.86148	4.43624
539.812	2.84364	4.4384
539.911	2.82783	4.44056
540.01	2.81369	4.44271
540.11	2.80058	4.44486
540.209	2.78822	4.44701
540.308	2.77744	4.44917
540.408	2.76808	4.45132
540.507	2.76031	4.45347
540.606	2.75353	4.45563
540.706	2.7477	4.45779
540.805	2.74224	4.45995
540.904	2.73759	4.46212
541.003	2.73463	4.46428
541.103	2.73356	4.46645
541.202	2.73549	4.46863
541.301	2.73988	4.47081
541.401	2.74672	4.47299
541.5	2.75455	4.47518
541.599	2.76307	4.47736
541.699	2.77243	4.47956
541.798	2.78171	4.48175
541.897	2.79325	4.48395
541.996	2.8088	4.48615
542.096	2.82822	4.48835
542.195	2.85244	4.49056
542.294	2.87967	4.49276
542.394	2.90785	4.49497
542.493	2.93723	4.49718
542.592	2.96861	4.49939
542.692	3.00306	4.5016
542.791	3.03985	4.5038
542.89	3.07848	4.506
542.99	3.11732	4.50819
543.089	3.15484	4.51038
543.188	3.19109	4.51256
543.287	3.22476	4.51473
543.387	3.25548	4.5169
543.486	3.28328	4.51907
543.585	3.30867	4.52123
543.685	3.3312	4.52339
543.784	3.35057	4.52554
543.883	3.36703	4.5277
543.983	3.38059	4.52985
544.082	3.3938	4.53201
544.181	3.40764	4.53416
544.28	3.42303	4.53631
544.38	3.44027	4.53847
544.479	3.45983	4.54062
544.578	3.48245	4.54278
544.678	3.50809	4.54495
544.777	3.53715	4.54713
544.876	3.56658	4.54931
544.976	3.59447	4.5515
545.075	3.62021	4.5537
545.174	3.64227	4.5559
545.273	3.66198	4.55811
545.373	3.67971	4.56032
545.472	3.69534	4.56254
545.571	3.70866	4.56477
545.671	3.71889	4.56699
545.77	3.72724	4.56922
545.869	3.7331	4.57145
545.969	3.73773	4.57369
546.068	3.74158	4.57592
546.167	3.74421	4.57816
546.267	3.74657	4.5804
546.366	3.74816	4.58264
546.465	3.74988	4.58489
546.564	3.75131	4.58713
546.664	3.7523	4.58938
546.763	3.75297	4.59162
546.862	3.75347	4.59387
546.962	3.75406	4.59611
547.061	3.75476	4.59836
547.16	3.7561	4.6006
547.26	3.75827	4.60284
547.359	3.76201	4.60508
547.458	3.76765	4.60731
547.557	3.77594	4.60954
547.657	3.78714	4.61176
547.756	3.80188	4.61398
547.855	3.82135	4.61619
547.955	3.84517	4.61839
548.054	3.87304	4.62058
548.153	3.90489	4.62277
548.253	3.94082	4.62495
548.352	3.98333	4.62711
548.451	4.03282	4.62927
548.55	4.08831	4.63142
548.65	4.14762	4.63355
548.749	4.2085	4.63568
548.848	4.27097	4.6378
548.948	4.33642	4.6399
549.047	4.40511	4.642
549.146	4.47676	4.64409
549.246	4.55104	4.64617
549.345	4.62793	4.64825
549.444	4.70756	4.65032
549.544	4.78824	4.65239
